,Visibility (km),Rel Hum (%),Hour,Stn Press (kPa),Month,Temp (°C),Dew Point Temp (°C),Wind Dir (10s deg),Wind Spd (km/h),Temp_Diff,Humidity_Index
3713,1.0,0.1728395061728395,17,0.6666666666666679,6,0.8159879336349922,0.7030716723549488,0.3611111111111111,0.5192307692307693,0.1129162612800434,0.14103495149246778
3714,1.0,0.271604938271605,18,0.6684782608695663,6,0.7918552036199094,0.7286689419795223,0.3055555555555555,0.576923076923077,0.0631862616403871,0.21507178369923466
3715,1.0,0.35802469135802467,19,0.6739130434782616,6,0.7586726998491704,0.7337883959044369,0.3611111111111111,0.17307692307692307,0.02488430394473351,0.27162355920525855
3716,1.0,0.48148148148148145,20,0.6721014492753632,6,0.7043740573152337,0.726962457337884,0.3611111111111111,0.23076923076923078,-0.02258840002265028,0.33914306463326066
3717,1.0,0.48148148148148145,21,0.679347826086957,6,0.7043740573152337,0.726962457337884,0.3611111111111111,0.11538461538461539,-0.02258840002265028,0.33914306463326066
3718,1.0,0.5555555555555556,22,0.6721014492753632,6,0.6817496229260934,0.7235494880546076,0.3611111111111111,0.07692307692307693,-0.04179986512851419,0.37874979051449637
3719,1.0,0.5802469135802468,23,0.6612318840579725,6,0.6772247360482654,0.7252559726962458,0.861111111111111,0.057692307692307696,-0.04803123664798037,0.3929575628922033
3720,1.0,0.691358024691358,0,0.6557971014492736,6,0.6349924585218703,0.7133105802047782,0.8333333333333333,0.07692307692307693,-0.07831812168290797,0.43900713181758927
3721,1.0,0.8148148148148149,1,0.6539855072463787,6,0.6018099547511311,0.7064846416382253,1.0,0.038461538461538464,-0.10467468688709425,0.490363666834255
3722,1.0,0.728395061728395,2,0.6449275362318865,6,0.6561085972850678,0.7440273037542663,0.8888888888888888,0.09615384615384616,-0.08791870646919853,0.47790626221998755
3723,1.0,0.7654320987654322,3,0.6376811594202891,6,0.6576168929110104,0.7559726962457338,0.8055555555555555,0.057692307692307696,-0.09835580333472338,0.5033610785244772
3724,1.0,0.8271604938271604,4,0.6358695652173907,6,0.6561085972850678,0.7679180887372015,1.0,0.038461538461538464,-0.1118094914521337,0.5427071113345622
3725,1.0,0.9012345679012346,5,0.6340579710144958,6,0.61236802413273,0.7372013651877134,0.25,0.09615384615384616,-0.12483334105498345,0.5518872316257937
3726,1.0,0.8395061728395061,6,0.6358695652173907,6,0.6515837104072397,0.7696245733788396,0.5555555555555556,0.11538461538461539,-0.11804086297159988,0.547008547008547
